,port_rets,port_vols,weights,sharpe_ratio
0,6.77,9.69,[ 0.41169251  2.50113568 13.10534946 32.30133502 51.68048733],0.7
1,6.68,10.62,[25.19479429 13.96156326 20.70428705 21.75469588 18.38465952],0.63
2,7.07,12.93,[33.28261916  1.17396713 31.6832961  32.7331331   1.12698451],0.55
3,7.1,12.23,[ 3.28851009 27.49701981  2.42053651 44.14025598 22.65367761],0.58
4,8.34,18.23,[ 1.96908167 17.62117078 43.3991434  33.22293234  3.78767182],0.46
5,6.95,12.3,[17.23145814 45.31742737 18.53925955  7.65398665 11.25786829],0.57
6,6.8,10.78,[15.67063752 17.28138315 17.42621111 23.60369704 26.01807117],0.63
7,6.88,10.94,[13.84619524  8.18316793 27.534191   16.89180328 33.54464256],0.63
8,7.06,12.2,[ 6.56670014 31.53307937  5.75029263 36.3073986  19.84252927],0.58
9,7.67,14.84,[ 7.1765401  13.61632724 38.97066021 20.93482718 19.30164527],0.52
10,6.66,9.7,[13.54599328  0.08831548 21.3396966  24.17236286 40.85363179],0.69
11,6.71,10.22,[13.73893247 12.50470604 11.26786141 32.43831903 30.05018104],0.66
12,6.73,11.45,[37.67457336  4.0837141  21.02344342 36.75930804  0.45896108],0.59
13,6.44,9.95,[35.21744647 16.75524938 30.48833195  0.7212164  16.8177558 ],0.65
14,6.86,12.0,[24.87284662 31.43882    10.5596503  30.8490038   2.27967928],0.57
15,6.9,11.75,[24.17842066 10.89591551 15.96120572 38.80573483 10.15872328],0.59
16,6.18,8.7,[40.32403788  5.45930374 16.30760062 24.11632493 13.79273283],0.71
17,6.21,8.66,[29.8059905  13.85262171  2.4383767  35.20757249 18.69543861],0.72
18,7.46,14.41,[15.18375339 26.43900259 24.93599662 29.32142581  4.11982158],0.52
19,6.71,10.46,[19.15293702 16.22826759 24.13988338 12.64258451 27.8363275 ],0.64
20,7.08,12.95,[31.25957209  9.0781203  40.99567397 11.66179538  7.00483827],0.55
21,6.04,7.53,[30.50965595  1.82075033  7.0359035  30.83564561 29.79804461],0.8
22,6.26,9.13,[33.79564045 23.29462782 10.27759291 19.92355218 12.70858664],0.69
23,7.36,13.15,[ 3.38839078 22.96380813 26.42809494 19.85864679 27.36105936],0.56
24,7.01,12.17,[16.08228611 31.78234294 23.21191795 11.92997482 16.99347818],0.58
25,6.95,11.4,[15.11420542  9.43325554 32.78833148 11.11424602 31.54996155],0.61
26,6.56,9.95,[21.99891341 18.72938843 14.84048368 21.28656467 23.14464981],0.66
27,6.73,10.61,[18.00306007 17.42772737 14.4153712  27.03374093 23.12010044],0.63
28,6.87,10.96,[16.78589265  3.74868677 29.82985084 17.58049171 32.05507802],0.63
29,8.28,17.83,[ 4.27062575  5.24218066 49.97137426 31.12464234  9.39117699],0.46
30,7.52,14.08,[10.04802054  6.62859682 33.02159844 31.01652828 19.28525592],0.53
31,7.4,14.31,[18.72582153 29.72407856 31.43275002 16.52009193  3.59725796],0.52
32,7.47,14.21,[13.44704848 19.09551299 35.04564795 18.85132102 13.56046956],0.53
33,5.71,5.59,[22.6546191   5.49965054  8.51057737  9.55322186 53.78193114],1.02
34,6.76,11.19,[22.41572361 30.82488232 18.68353601 13.62558248 14.45027557],0.6
35,6.29,8.41,[18.77340877 13.95432065  5.09312722 28.16071127 34.01843209],0.75
36,6.95,12.04,[25.77142825 16.21938839 32.76955532 11.36075413 13.87887391],0.58
37,8.0,17.02,[ 6.95356481 38.10844609 46.40510534  3.08634506  5.4465387 ],0.47
38,5.93,7.94,[40.40730951 22.18362506  0.16945492 27.75515216  9.48445834],0.75
39,6.3,8.62,[27.0010636   8.92312093 18.32904246 15.74901432 29.9977587 ],0.73
40,6.98,11.86,[22.79358557  1.33609734 28.85401678 28.22258162 18.79371869],0.59
41,7.02,12.61,[24.85983391 27.89134395 28.70352254 11.36375121  7.18154839],0.56
42,6.62,10.58,[30.98731627  2.71756695 14.18484359 40.9870289  11.12324429],0.63
43,6.72,11.54,[37.47154472 18.29943446 27.59838291 15.64518945  0.98544846],0.58
44,6.02,7.3,[29.04553612  0.78109957 11.6099038  23.20094134 35.36251917],0.83
45,7.0,12.56,[28.09753825 19.55869017 23.43390044 26.62201394  2.28785721],0.56
46,7.07,12.21,[14.66571729 22.43445437 29.20208387 11.12727991 22.57046456],0.58
47,6.38,8.98,[27.57504119  1.85076928 20.18111378 21.4532511  28.93982465],0.71
48,7.74,15.32,[ 4.30836307 26.17398046 27.76129163 30.01268447 11.74368036],0.51
49,6.71,11.16,[24.67566059 32.09666189 12.99119412 20.98392414  9.25255926],0.6
50,6.89,11.13,[15.25371093 12.41690841 24.45749086 19.54149993 28.33038987],0.62
51,8.0,16.78,[ 6.67606016 27.60396048 40.79221214 19.41391884  5.51384838],0.48
52,7.32,13.66,[20.17560965 11.29582812 41.42822792 12.61986067 14.48047364],0.54
53,7.51,14.39,[13.58959216 15.97472742 28.19370797 33.06962774  9.1723447 ],0.52
54,6.47,9.91,[33.58228286 13.93498708 25.53623031 10.58321649 16.36328327],0.65
55,6.37,9.64,[40.35142432  3.78364668 26.1460329  17.1701432  12.5487529 ],0.66
56,6.93,12.4,[28.15327444 32.64405798 27.6959694   7.59662193  3.91007625],0.56
57,6.33,9.06,[22.82592294 27.4588791   7.09280511 18.78534643 23.83704642],0.7
58,6.68,10.73,[22.34827272 27.34066619 18.66974093 13.57052686 18.0707933 ],0.62
59,8.05,16.95,[ 4.30742469 26.57863831 34.50792354 30.64948505  3.9565284 ],0.47
60,6.73,11.02,[25.046935   23.09709834 23.49997394 12.39233682 15.9636559 ],0.61
61,6.38,9.23,[19.08390068 33.795828    8.58752638 11.48774724 27.04499771],0.69
62,7.04,12.05,[ 7.31872218 28.67866738  6.9919663  36.1518274  20.85881673],0.58
63,6.42,9.33,[22.51500808 17.67669286  6.31048668 30.24805582 23.24975656],0.69
64,7.86,16.1,[ 4.34138885 27.13248769 20.55208622 44.8785089   3.09552835],0.49
65,6.51,9.23,[10.78452416 25.29281453 20.16822664  0.44354599 43.31088868],0.71
66,7.32,13.11,[ 6.31824382 22.99236086 24.83864673 22.37979901 23.47094958],0.56
67,6.43,9.51,[28.11509477 18.29863147 18.9953495  13.20112006 21.3898042 ],0.68
68,6.44,9.77,[36.43048151  1.38396408 30.870774   12.08318406 19.23159635],0.66
69,7.54,14.6,[ 8.48870482 35.06316066 37.46942545  2.9963034  15.98240567],0.52
70,7.69,14.77,[ 0.25220266 19.32235733 22.5800568  39.19233406 18.65304916],0.52
71,6.48,9.53,[17.76936136 30.692178   16.18684396  5.00564792 30.34596875],0.68
72,6.81,10.66,[13.92085184 13.56234277 19.77969647 22.16628471 30.57082421],0.64
73,6.03,7.69,[29.77651784 12.70018375  2.1342686  29.80978542 25.57924439],0.78
74,6.84,10.88,[11.70265306 24.30601652 22.45555519 10.03781059 31.49796465],0.63
75,7.13,12.89,[20.30712684 24.93220228 25.10279326 20.73944493  8.91843268],0.55
76,7.0,11.54,[ 5.05580066 27.32159258 15.00888216 22.10877227 30.50495232],0.61
77,5.86,7.21,[40.45989936 14.35963402 17.45182206  3.91643438 23.81221018],0.81
78,6.52,10.18,[24.37316506 28.29434609  5.76644066 27.88948135 13.67656684],0.64
79,6.56,9.76,[18.96206208 16.88639373 11.56573206 25.87223681 26.71357532],0.67
80,6.61,10.33,[23.36034817 22.51284663 13.81131289 22.35744928 17.95804303],0.64
81,7.97,16.64,[ 3.32982258 36.53272921 45.60662897  2.61312625 11.91769298],0.48
82,6.79,10.29,[ 4.14596246  8.76913097  4.69940287 43.69815192 38.68735178],0.66
83,5.88,7.58,[43.68238192 19.52737111 10.13543363 13.81949741 12.83531592],0.78
84,7.0,12.38,[26.89658741 15.97758072 30.07829617 18.27920289  8.76833281],0.57
85,7.73,14.81,[ 3.35719798  4.68034928 45.3918517  17.70473643 28.86586461],0.52
86,6.85,10.92,[ 7.9269967  28.30353249 12.31218761 21.30459834 30.15268485],0.63
87,7.32,13.98,[26.33766487 10.64416781 32.16747306 30.47996488  0.37072937],0.52
88,7.03,12.11,[ 9.06903405 39.26077224 23.85407368  2.6515972  25.16452283],0.58
89,7.32,13.46,[18.61199974  3.18253271 30.76140436 34.21761019 13.22645299],0.54
90,7.82,16.06,[ 8.69046985 33.69744887 38.39837732 13.06468137  6.14902259],0.49
91,6.83,10.81,[ 8.18801348 26.18204162 11.36933693 23.85341557 30.40719239],0.63
92,7.68,15.33,[ 5.43454698 30.60949152 16.87376385 42.20965294  4.87254471],0.5
93,7.04,11.48,[ 5.86114293 15.4143667  28.21512852 12.30435246 38.2050094 ],0.61
94,6.84,11.17,[17.67098501 23.51109601 23.30624333 12.3631097  23.14856595],0.61
95,7.04,12.27,[20.56882361 17.9957639  28.29383104 17.6280701  15.51351135],0.57
96,6.6,9.69,[17.74644218  6.58896374 20.20299871 21.16123811 34.30035726],0.68
97,6.67,10.86,[30.29172543 16.5429009  25.10338687 15.30882468 12.75316211],0.61
98,6.6,11.1,[40.39421058 19.14943221 34.04059094  2.03650042  4.37926585],0.59
99,5.99,7.15,[24.97069173 15.51387448  8.94738926 13.12308368 37.44496085],0.84
100,6.85,11.38,[12.48966235 38.22177266 13.71371565 14.19755828 21.37729106],0.6
101,6.31,8.77,[16.43420406 28.35059938  0.64652893 24.04239584 30.52627178],0.72
102,6.71,10.47,[14.49798633 18.82546827  5.68847869 36.77169673 24.21636999],0.64
103,8.4,18.39,[ 2.09021942  5.6285372  41.85530313 46.51706513  3.90887512],0.46
104,7.04,12.19,[18.06263139 17.27487001 20.42298801 29.18237923 15.05713136],0.58
105,5.94,8.25,[38.51370873 40.33688847  3.48643674  8.42312499  9.23984108],0.72
106,6.47,9.05,[14.90776073 17.92232461 20.62728614  5.68661626 40.85601226],0.72
107,6.14,8.11,[30.30562593 16.08734226 16.15446039  9.68315136 27.76942006],0.76
108,6.1,8.52,[30.24014915 34.84146272  0.91249388 18.00436279 16.00153147],0.72
109,7.19,13.3,[20.95894415 26.67012651 27.02592332 19.23898155  6.10602446],0.54
110,7.47,13.85,[ 4.52573541 24.68202404 28.52758221 20.17981791 22.08484042],0.54
111,6.35,8.98,[28.41302398 10.50824533 18.62221204 16.77073146 25.68578718],0.71
112,6.53,9.56,[15.8650384  18.75280582  8.15550468 27.36147403 29.86517707],0.68
113,6.26,8.68,[24.78942856 26.41372077 17.02430529  2.41867288 29.3538725 ],0.72
114,6.76,11.46,[22.74779371 39.47451466 19.36264203  6.6587298  11.7563198 ],0.59
115,8.04,16.74,[ 7.46661451  4.78803105 40.73926106 38.53666847  8.46942492],0.48
116,7.97,16.4,[ 1.6078482  26.24377242 31.65475497 31.11711995  9.37650446],0.49
117,6.86,11.65,[26.96534171 14.84419176 32.5646119  10.29054619 15.33530843],0.59
118,6.97,11.65,[14.51681539 21.60006748 24.33165064 15.4053297  24.14613679],0.6
119,6.99,11.89,[15.36113857 21.7432454  18.78091196 25.35911877 18.7555853 ],0.59
120,7.06,12.46,[25.13322765  5.1134337  31.54178878 25.46977468 12.74177518],0.57
121,6.95,11.99,[20.40011258 25.94197654 18.85125205 22.9747811  11.83187772],0.58
122,6.27,8.8,[31.29351711 10.72341129 11.62137659 26.0856691  20.2760259 ],0.71
123,6.23,9.15,[43.11760794  9.2125475  15.5136517  25.72974081  6.42645206],0.68
124,6.19,7.86,[21.84058369  6.00294213 24.12766341  2.48148682 45.54732396],0.79
125,6.46,9.65,[24.88154614 25.01939889 18.44267828  8.62051033 23.03586636],0.67
126,6.27,9.52,[28.65504586 41.86270106  0.22955173 19.38021123  9.87249012],0.66
127,7.14,13.0,[18.84358476 17.07581026 11.27943424 47.87169907  4.92947167],0.55
128,6.14,7.43,[18.11072722  7.74494532 11.63721326 16.7057216  45.8013926 ],0.83
129,7.22,13.33,[25.48211023  8.21399477 33.69422181 25.65209675  6.95757644],0.54
130,6.11,7.76,[24.69954218 18.27445813  9.98709392 13.65527337 33.38363241],0.79
131,6.89,11.7,[21.86025327 24.24966826 22.58549419 17.08781433 14.21676996],0.59
132,7.26,13.19,[13.64467161 23.01703859 24.95401572 23.75066263 14.63361145],0.55
133,6.39,9.25,[19.96639136 31.23457853  9.71329275 12.48099536 26.604742  ],0.69
134,7.28,13.22,[11.14614593 26.39798862 31.90937483 10.05454195 20.49194868],0.55
135,6.29,8.91,[25.79956337 27.92544527 14.87327368  6.23206758 25.1696501 ],0.71
136,7.29,13.48,[15.65928418 23.40127776 28.41428673 20.46042122 12.06473011],0.54
137,6.1,8.36,[31.88869922 29.37226831  8.76843945 10.871883   19.09871001],0.73
138,6.92,11.4,[16.44666913 11.68859639 17.99289003 31.82727466 22.04456979],0.61
139,6.4,10.14,[26.00745425 49.61847833 10.89416167  0.69670914 12.7831966 ],0.63
140,6.38,8.61,[ 8.39077103 29.48597399  6.25580708 12.67140427 43.19604363],0.74
141,6.16,8.19,[24.3219325  25.96953761  7.10968032 14.05262198 28.54622759],0.75
142,6.59,9.62,[16.25410867  8.84021963 30.20777108  2.81580594 41.88209467],0.69
143,6.63,10.93,[29.67263114 20.44848517  6.12268303 39.95949695  3.79670371],0.61
144,7.58,14.61,[ 6.34473915 29.70083112 39.59040326  4.25755709 20.10646937],0.52
145,6.95,12.5,[34.04066267 15.81375549 36.04103124 10.93015534  3.17439526],0.56
146,6.55,9.83,[11.96847799 29.89996406  1.02124612 28.88622052 28.22409131],0.67
147,6.1,7.31,[15.87034588 13.6807268   4.46165785 20.8860993  45.10117017],0.84
148,7.06,12.42,[ 8.49518108 41.86754113 11.25242544 21.16366102 17.22119134],0.57
149,7.17,12.1,[ 3.88111912 18.24485499 21.54000912 24.09672817 32.2372886 ],0.59
150,6.4,9.96,[42.74391218  3.21246738 34.18742997  7.45738779 12.39880268],0.64
151,7.12,12.21,[10.5213252  20.88330272 30.02126895 10.65475458 27.91934855],0.58
152,6.38,9.18,[20.12982413 30.17083175 12.09558963  9.4579647  28.14578979],0.7
153,4.95,3.78,[52.33759119  8.3936751   4.04936873  1.79996777 33.41939721],1.31
154,5.85,7.01,[31.91692011 21.1321986   1.47353856 18.96901335 26.50832939],0.83
155,6.39,9.21,[26.2913088  17.98918244 24.18647924  2.94512062 28.5879089 ],0.69
156,6.07,8.23,[20.53338313 46.70156778  2.22145241  1.05809949 29.48549718],0.74
157,7.69,14.88,[ 0.07326537 32.37430244 32.56044559 13.8216343  21.1703523 ],0.52
158,6.69,10.64,[25.14676446  9.59485033 18.46336521 28.85622447 17.93879553],0.63
159,6.26,8.66,[22.77420646 28.96467611  9.15496651 11.53777332 27.56837761],0.72
